Unique Identifier;Name;Description;Readonly;Reference;Reference Datatype;Enum Value Set;Enum Value Field;Enum Value Set Field
fd2c5bda-257f-4b90-8fe4-d483614f2f4d;AllergyConcernContainer;A container for organizing observations of an "Intolerance Condition" of the Patient. Intolerance Conditions are typically allergies, but the concept of an intolerance condition is broader than just allergies. For example, an adverse reaction such as the patient becomes nauseous after taking a particular antibiotic is not an allergy, but may serve as a contra-indicator to the use of that antibiotic. In general, Intolerance Conditions as caused by Food, Drugs, or some environmental factor such as mold, insect venom (i.e., bee stings), or pet dander.;true;AllergyConcernContainer;Container
e7e780ef-09c5-48e9-8b43-75b14e921d35;AllergyConcernStartDateTime;The date the Allergy Concern was first recorded.;true;AllergyConcernStartDateTime;DateTime
39c7c1a7-46c6-45ac-ab76-00a19b198b88;AllergyObservationAllergyTypeCode;A code for the specific Type of Allergy observed;true;-;CodedElement;2.16.840.1.113883.4.642.2.481;;
f2b74432-5fb6-473b-b995-c4d839eacd75;AllergyObservationContainer;A container for organizing all of the information for a specific allergy / adverse reaction Concern.;true;AllergyObservationContainer;Container
e16a6146-42c0-4a28-a320-2cd664638f83;AllergyObservationID;A unique identifier assigned by an administrative body to the specific allergy observation;true;AllergyObservationID;InstanceIdentifier
e20b3fd4-a386-4d90-aa17-d4e16cb377a9;AllergyReactionContainer;A container holding Business Elements associated with each reaction observed in a specific observation. There may be multiple reactions observed in a specific observation.;true;AllergyReactionContainer;Container
634ccc25-1115-4030-8e6c-535de4c546b8;AllergyReactionID;The identifier assigned by the administrative body  to the observation of an allergy reaction.;true;AllergyReactionID;InstanceIdentifier
d0dd472b-e8a8-484f-bfd8-c751f974eabd;AllergyReactionNotes;Notes (unstructured text) describing the reaction by the observer;true;AllergyReactionNotes;String
3f3ed4df-0fbb-44f5-9396-0fd79d033fd3;AllergyReactionValueCode;A code representing the specific reaction to an allergen;true;AllergyReactionValueCode;CodedElement;2.16.840.1.113883.3.2074.1.1.30;;
9f911ed4-85aa-4628-8b89-a02433b67949;AllergyObservationSeverityNotes;Provider notes on the severity of the allergy not captured in other fields;true;AllergyObservationSeverityNotes;String
7931e589-0680-4a02-9d29-b8cd923b9dc5;AllergyObservationSeverityValueCode;A code representing the severity of the reactions to a specific allergen;true;AllergyObservationSeverityValueCode;CodedElement;2.16.840.1.113883.4.642.2.479;;
38e02314-1ad3-4af5-89cb-3b0b17f7760b;DocumentAuthorContainer;This contains information regarding the author.;true;DocumentAuthorContainer;Container
ecb9af68-f098-48e7-b941-4542104a7ae5;DocumentAuthorAddress;Address for the person or machine that created the EHR document.;true;DocumentAuthorAddress;Address
e6bcac02-6863-4203-9c44-8a9215549c06;DocumentAuthorName;This is the name of the person that created the EHR document.;true;DocumentAuthorName;PersonName
6ce0a799-fced-485b-ad83-5ab049b51097;DocumentAuthorID;for;true;DocumentAuthorID;InstanceIdentifier
4dbf6b62-4deb-4834-a9b8-8acfc5db8bec;DocumentAuthorPhoneContact;Phone contact for the person that created the health care document;true;DocumentAuthorPhoneContact;Telecom
6161dfe6-06d5-4aee-b3f1-8e14ead8338b;DocumentAuthorDateTime;Date and time that the EHR document was created.;true;DocumentAuthorDateTime;DateTime
409d5f35-22f1-4699-8cce-22ce1ae25e6f;CarePlanSectionContainer;This contains all information on care plans for a patient.;true;CarePlanSectionContainer;Container
27a3dced-791a-4381-95da-93e68b890c66;CarePlanSectionNotes;Text related to Care Plans not captured in other fields;true;CarePlanSectionNotes;String
03844ed8-168e-4a76-8777-1f759e86eea2;PatientAdministrationGenderCode;A code describing the gender of the Patient used in making administrative decisions.;true;PatientAdministrationGenderCode;CodedElement;2.16.840.1.113883.1.11.1;;
787eb894-88e2-445a-9f30-89d38bca3380;PatientBirthPlaceAddress;The address where the Patient was born;true;PatientBirthPlaceAddress;Address
